rank,config_id,config_name,model_path,stats_path,hidden_size,learning_rate,entropy_coef,n_epochs,batch_size,episodes,mean_reward,std_reward,min_reward,max_reward,mean_score,normalization
1,2,Mayor_Entropia,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_2_Mayor_Entropia/ppo_flappy_Mayor_Entropia_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_2_Mayor_Entropia/obs_norm_stats_Mayor_Entropia.npz,256,0.0001,0.1,4,64,50,458.35601806640625,508.0054626464844,5.300000190734863,2177.699951171875,131.36000061035156,running_stats
2,13,Red_Grande_Una_Epoca_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_13_Red_Grande_Una_Epoca_Batch_Grande/ppo_flappy_Red_Grande_Una_Epoca_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_13_Red_Grande_Una_Epoca_Batch_Grande/obs_norm_stats_Red_Grande_Una_Epoca_Batch_Grande.npz,512,0.0001,0.05,1,128,50,451.0560302734375,321.78594970703125,36.599998474121094,1217.5,125.37999725341797,running_stats
3,3,LR_Alto,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_3_LR_Alto/ppo_flappy_LR_Alto_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_3_LR_Alto/obs_norm_stats_LR_Alto.npz,256,0.0003,0.05,4,64,50,418.7460021972656,372.0079040527344,22.200000762939453,1583.199951171875,120.45999908447266,running_stats
4,9,Red_Grande_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_9_Red_Grande_Batch_Grande/ppo_flappy_Red_Grande_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_9_Red_Grande_Batch_Grande/obs_norm_stats_Red_Grande_Batch_Grande.npz,512,0.0001,0.05,4,128,50,406.9840087890625,383.97369384765625,9.199999809265137,1513.699951171875,114.23999786376953,running_stats
5,5,Mas_Epocas,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_5_Mas_Epocas/ppo_flappy_Mas_Epocas_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_5_Mas_Epocas/obs_norm_stats_Mas_Epocas.npz,256,0.0001,0.05,8,64,50,372.156005859375,315.0841064453125,10.699999809265137,1543.5,105.94000244140625,running_stats
6,4,Red_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_4_Red_Grande/ppo_flappy_Red_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_4_Red_Grande/obs_norm_stats_Red_Grande.npz,512,0.0001,0.05,4,64,50,361.1479797363281,342.08740234375,27.600000381469727,1763.0,103.31999969482422,running_stats
7,12,Red_Grande_Menos_Epocas_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_12_Red_Grande_Menos_Epocas_Batch_Grande/ppo_flappy_Red_Grande_Menos_Epocas_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_12_Red_Grande_Menos_Epocas_Batch_Grande/obs_norm_stats_Red_Grande_Menos_Epocas_Batch_Grande.npz,512,0.0001,0.05,2,128,50,348.4019775390625,301.9343566894531,7.0,1146.199951171875,98.31999969482422,running_stats
8,15,Red_Gigante_Una_Epoca,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_15_Red_Gigante_Una_Epoca/ppo_flappy_Red_Gigante_Una_Epoca_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_15_Red_Gigante_Una_Epoca/obs_norm_stats_Red_Gigante_Una_Epoca.npz,1024,8e-05,0.05,1,64,50,321.2039794921875,317.8631286621094,5.5,1363.0999755859375,89.19999694824219,running_stats
9,10,Red_Grande_LR_Alto_Suave,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_10_Red_Grande_LR_Alto_Suave/ppo_flappy_Red_Grande_LR_Alto_Suave_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_10_Red_Grande_LR_Alto_Suave/obs_norm_stats_Red_Grande_LR_Alto_Suave.npz,512,0.0002,0.05,4,64,50,275.1239929199219,256.89166259765625,13.699999809265137,990.5,78.31999969482422,running_stats
10,8,Red_Grande_Menos_Epocas,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_8_Red_Grande_Menos_Epocas/ppo_flappy_Red_Grande_Menos_Epocas_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_8_Red_Grande_Menos_Epocas/obs_norm_stats_Red_Grande_Menos_Epocas.npz,512,0.0001,0.05,2,64,50,278.2460021972656,262.3020935058594,2.4000000953674316,1248.199951171875,77.41999816894531,running_stats
11,1,Baseline,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_1_Baseline/ppo_flappy_Baseline_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_1_Baseline/obs_norm_stats_Baseline.npz,256,0.0001,0.05,4,64,50,265.780029296875,266.27691650390625,5.5,1328.199951171875,73.63999938964844,running_stats
12,7,Red_Grande_Mayor_Entropia,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_7_Red_Grande_Mayor_Entropia/ppo_flappy_Red_Grande_Mayor_Entropia_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_7_Red_Grande_Mayor_Entropia/obs_norm_stats_Red_Grande_Mayor_Entropia.npz,512,0.0001,0.08,4,64,50,243.4820098876953,214.10740661621094,3.0,782.2999877929688,71.12000274658203,running_stats
13,11,Red_Grande_Una_Epoca,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_11_Red_Grande_Una_Epoca/ppo_flappy_Red_Grande_Una_Epoca_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_11_Red_Grande_Una_Epoca/obs_norm_stats_Red_Grande_Una_Epoca.npz,512,0.0001,0.05,1,64,50,256.10400390625,265.1656799316406,4.400000095367432,1333.300048828125,70.69999694824219,running_stats
14,6,Red_Grande_LR_Bajo,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_6_Red_Grande_LR_Bajo/ppo_flappy_Red_Grande_LR_Bajo_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_6_Red_Grande_LR_Bajo/obs_norm_stats_Red_Grande_LR_Bajo.npz,512,5e-05,0.05,4,64,50,237.8159942626953,215.0185089111328,32.400001525878906,866.9000244140625,66.23999786376953,running_stats
15,14,Red_Grande_Menos_Epocas_LR_Suave,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_14_Red_Grande_Menos_Epocas_LR_Suave/ppo_flappy_Red_Grande_Menos_Epocas_LR_Suave_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/oldNormalization/config_14_Red_Grande_Menos_Epocas_LR_Suave/obs_norm_stats_Red_Grande_Menos_Epocas_LR_Suave.npz,512,0.00015,0.05,2,64,50,226.55601501464844,211.3964385986328,9.600000381469727,972.7000122070312,63.34000015258789,running_stats
