rank,config_id,config_name,model_path,stats_path,hidden_size,learning_rate,entropy_coef,n_epochs,batch_size,episodes,mean_reward,std_reward,min_reward,max_reward,mean_score,normalization
1,4,Red_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_4_Red_Grande/ppo_flappy_Red_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_4_Red_Grande/obs_norm_stats_Red_Grande.npz,512,0.0001,0.05,4,64,10,773.0599975585938,674.6027221679688,106.69999694824219,2280.0,219.39999389648438,running_stats
2,20,Red_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_20_Red_Grande/ppo_flappy_Red_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_20_Red_Grande/obs_norm_stats_Red_Grande.npz,512,0.0001,0.05,4,64,10,638.719970703125,615.34814453125,29.100000381469727,1739.5999755859375,177.10000610351562,running_stats
3,17,Red_Grande_Menos_Epocas_LR_Suave,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_17_Red_Grande_Menos_Epocas_LR_Suave/ppo_flappy_Red_Grande_Menos_Epocas_LR_Suave_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_17_Red_Grande_Menos_Epocas_LR_Suave/obs_norm_stats_Red_Grande_Menos_Epocas_LR_Suave.npz,512,0.00015,0.05,2,64,10,595.5499877929688,918.0812377929688,5.0,3193.199951171875,162.0,running_stats
4,12,Red_Grande_Menos_Epocas_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_12_Red_Grande_Menos_Epocas_Batch_Grande/ppo_flappy_Red_Grande_Menos_Epocas_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_12_Red_Grande_Menos_Epocas_Batch_Grande/obs_norm_stats_Red_Grande_Menos_Epocas_Batch_Grande.npz,512,0.0001,0.05,2,128,10,521.679931640625,616.0848388671875,49.900001525878906,2053.60009765625,147.10000610351562,running_stats
5,18,Red_Gigante_Una_Epoca,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_18_Red_Gigante_Una_Epoca/ppo_flappy_Red_Gigante_Una_Epoca_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_18_Red_Gigante_Una_Epoca/obs_norm_stats_Red_Gigante_Una_Epoca.npz,1024,8e-05,0.05,1,64,10,503.3500061035156,383.76544189453125,31.700000762939453,1162.9000244140625,139.10000610351562,running_stats
6,19,Red_Grande_Una_Epoca_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_19_Red_Grande_Una_Epoca_Batch_Grande/ppo_flappy_Red_Grande_Una_Epoca_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_19_Red_Grande_Una_Epoca_Batch_Grande/obs_norm_stats_Red_Grande_Una_Epoca_Batch_Grande.npz,512,0.0001,0.05,1,128,10,495.52001953125,431.5904235839844,9.0,1545.0999755859375,133.5,running_stats
7,14,Red_Grande_Menos_Epocas_LR_Suave,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_14_Red_Grande_Menos_Epocas_LR_Suave/ppo_flappy_Red_Grande_Menos_Epocas_LR_Suave_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_14_Red_Grande_Menos_Epocas_LR_Suave/obs_norm_stats_Red_Grande_Menos_Epocas_LR_Suave.npz,512,0.00015,0.05,2,64,10,429.4599609375,600.3296508789062,8.699999809265137,1772.0,123.19999694824219,running_stats
8,16,Red_Grande_Una_Epoca_Batch_Grande,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_16_Red_Grande_Una_Epoca_Batch_Grande/ppo_flappy_Red_Grande_Una_Epoca_Batch_Grande_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_16_Red_Grande_Una_Epoca_Batch_Grande/obs_norm_stats_Red_Grande_Una_Epoca_Batch_Grande.npz,512,0.0001,0.05,1,128,10,422.33001708984375,331.92181396484375,5.599999904632568,959.0,115.30000305175781,running_stats
9,6,Red_Grande_LR_Bajo,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_6_Red_Grande_LR_Bajo/ppo_flappy_Red_Grande_LR_Bajo_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_6_Red_Grande_LR_Bajo/obs_norm_stats_Red_Grande_LR_Bajo.npz,512,5e-05,0.05,4,64,10,384.8899841308594,165.28378295898438,41.900001525878906,636.5,106.4000015258789,running_stats
10,3,LR_Alto,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_3_LR_Alto/ppo_flappy_LR_Alto_final.pth,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_3_LR_Alto/obs_norm_stats_LR_Alto.npz,256,0.0003,0.05,4,64,10,361.32000732421875,472.63043212890625,7.699999809265137,1443.9000244140625,101.69999694824219,running_stats
