rank,config_id,config_label,config_name,mean_reward_last,std_reward_last,max_reward_last,max_reward_all,mean_reward_all,total_episodes,total_timesteps,learning_rate,entropy_coef,n_epochs,hidden_size,batch_size,entropy_recent,clip_fraction_recent,approx_kl_recent,final_learning_rate,rewards_path,losses_path
1,19,config_19_Red_Grande_Una_Epoca_Batch_Grande,Red_Grande_Una_Epoca_Batch_Grande,444.5300000000064,414.2562203515651,1923.3999999994055,3278.699999998217,222.37351829988646,8470,19999831,0.0001,0.05,1,512,128,0.013932335250369713,0.0,6.9456291384994985e-09,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_19_Red_Grande_Una_Epoca_Batch_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_19_Red_Grande_Una_Epoca_Batch_Grande/logs/losses.csv
2,17,config_17_Red_Grande_Menos_Epocas_LR_Suave,Red_Grande_Menos_Epocas_LR_Suave,257.534000000004,257.5216628635233,1654.2999999996134,1757.7999999994956,62.95790640681633,8569,5999002,0.00015,0.05,2,512,64,0.023872836082390405,9.765625e-06,2.638373553054407e-06,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_17_Red_Grande_Menos_Epocas_LR_Suave/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_17_Red_Grande_Menos_Epocas_LR_Suave/logs/losses.csv
3,21,config_21_Red_Grande_Batch_Grande_Ultra_Suave,Red_Grande_Batch_Grande_Ultra_Suave,252.76500000000968,333.040871177993,1932.299999999348,2692.3999999986786,72.44938741892436,9713,7997478,5e-05,0.015,2,512,2048,0.014275793326087244,0.0,2.169981598854065e-09,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_21_Red_Grande_Batch_Grande_Ultra_Suave/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_21_Red_Grande_Batch_Grande_Ultra_Suave/logs/losses.csv
4,20,config_20_Red_Grande,Red_Grande,234.1040000000051,251.73873357908153,1386.6999999998206,1386.6999999998206,33.98991170863847,19934,7998959,0.0001,0.05,4,512,64,0.02800567949446754,3.41796875e-05,6.45366730168367e-06,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_20_Red_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_20_Red_Grande/logs/losses.csv
5,18,config_18_Red_Gigante_Una_Epoca,Red_Gigante_Una_Epoca,232.54900000001362,241.03210470602284,1049.2000000001342,1675.2999999995775,113.15328006728669,4756,6000409,8e-05,0.05,1,1024,64,0.02172305366532778,0.0,4.2745377868413927e-07,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_18_Red_Gigante_Una_Epoca/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_18_Red_Gigante_Una_Epoca/logs/losses.csv
6,16,config_16_Red_Grande_Una_Epoca_Batch_Grande,Red_Grande_Una_Epoca_Batch_Grande,194.81900000000368,208.95658051136596,1344.399999999874,1984.599999999327,111.14583840844801,4926,6000266,0.0001,0.05,1,512,128,0.017531567892510744,0.0,1.9207567675039172e-07,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_16_Red_Grande_Una_Epoca_Batch_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_16_Red_Grande_Una_Epoca_Batch_Grande/logs/losses.csv
7,14,config_14_Red_Grande_Menos_Epocas_LR_Suave,Red_Grande_Menos_Epocas_LR_Suave,181.61500000000683,211.8104635635519,1228.299999999986,1228.299999999986,41.79573361082244,1922,999926,0.00015,0.05,2,512,64,0.03063623995660687,0.0011328125,0.00010549308644838965,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_14_Red_Grande_Menos_Epocas_LR_Suave/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_14_Red_Grande_Menos_Epocas_LR_Suave/logs/losses.csv
8,9,config_9_Red_Grande_Batch_Grande,Red_Grande_Batch_Grande,167.05600000000322,148.0472352460635,663.7000000000799,663.7000000000799,34.02428282828284,2475,999706,0.0001,0.05,4,512,128,0.031950096480577436,0.00170654296875,0.00014705635097923267,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_9_Red_Grande_Batch_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_9_Red_Grande_Batch_Grande/logs/losses.csv
9,13,config_13_Red_Grande_Una_Epoca_Batch_Grande,Red_Grande_Una_Epoca_Batch_Grande,156.7580000000063,181.24853664514558,880.2000000001325,880.2000000001325,30.855011655011786,2574,999291,0.0001,0.05,1,512,128,0.02829423071583729,1.953125e-05,5.096497479826164e-06,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_13_Red_Grande_Una_Epoca_Batch_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_13_Red_Grande_Una_Epoca_Batch_Grande/logs/losses.csv
10,11,config_11_Red_Grande_Una_Epoca,Red_Grande_Una_Epoca,148.0520000000042,157.13529869512016,688.9000000000884,688.9000000000884,35.17798085291568,2298,999541,0.0001,0.05,1,512,64,0.029079893342623054,0.00017578125,2.0004769612567567e-05,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_11_Red_Grande_Una_Epoca/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_11_Red_Grande_Una_Epoca/logs/losses.csv
11,12,config_12_Red_Grande_Menos_Epocas_Batch_Grande,Red_Grande_Menos_Epocas_Batch_Grande,144.57500000000078,205.58362988087777,1466.8999999997668,1466.8999999997668,40.6665673124691,2013,995621,0.0001,0.05,2,512,128,0.025952056698442857,0.0003662109375,3.9001343538978665e-05,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_12_Red_Grande_Menos_Epocas_Batch_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_12_Red_Grande_Menos_Epocas_Batch_Grande/logs/losses.csv
12,15,config_15_Red_Gigante_Una_Epoca,Red_Gigante_Una_Epoca,143.63700000000554,174.84517131166868,999.900000000158,999.900000000158,44.61544235924975,1865,1000178,8e-05,0.05,1,1024,64,0.02692235655440522,0.000380859375,3.529055218677539e-05,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_15_Red_Gigante_Una_Epoca/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_15_Red_Gigante_Una_Epoca/logs/losses.csv
13,8,config_8_Red_Grande_Menos_Epocas,Red_Grande_Menos_Epocas,141.45200000000176,140.71304522325923,825.8000000001192,825.8000000001192,32.190792119018965,2487,997655,0.0001,0.05,2,512,64,0.03178396794831311,0.0007666015625,7.75819565751457e-05,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_8_Red_Grande_Menos_Epocas/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_8_Red_Grande_Menos_Epocas/logs/losses.csv
14,3,config_3_LR_Alto,LR_Alto,129.52499999999984,118.90576804764855,630.7000000000724,663.6000000000847,15.310358726320015,4962,999856,0.0003,0.05,4,256,64,0.03912561140128498,0.00333251953125,0.0002927279279537815,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_3_LR_Alto/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_3_LR_Alto/logs/losses.csv
15,4,config_4_Red_Grande,Red_Grande,113.84399999999971,105.15495834244253,539.600000000057,552.900000000058,27.098064731397965,2997,997487,0.0001,0.05,4,512,64,0.03804696205697833,0.00283203125,0.00023828714140105705,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_4_Red_Grande/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_4_Red_Grande/logs/losses.csv
16,1,config_1_Baseline,Baseline,107.69299999999954,101.9325514789103,527.0000000000521,633.5000000000795,14.756782159970466,5426,997897,0.0001,0.05,4,256,64,0.03818283113821958,0.0015478515625,0.0001314549448579533,0.0,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_1_Baseline/logs/rewards.csv,/Users/agustinavidelarivero/INGENIERIA IA/CUARTO AÑO/SEMESTRE 2/Aprendizaje Reforzado/TP-FINAL-RL/savedModels/config_1_Baseline/logs/losses.csv
