timestep,episode,reward,length
1073,0,-6.899999999999999,50
1123,1,-8.099999999999998,50
1173,2,-7.499999999999998,50
1223,3,-8.7,50
1273,4,-7.499999999999998,50
1323,5,-6.899999999999999,50
1373,6,-8.099999999999998,50
1423,7,-6.899999999999999,50
1473,8,-8.099999999999998,50
1523,9,-7.499999999999998,50
1573,10,-7.499999999999998,50
1623,11,-6.299999999999999,50
1673,12,-6.299999999999999,50
1723,13,-7.499999999999998,50
1773,14,-6.899999999999999,50
1823,15,-6.899999999999999,50
1873,16,-6.899999999999999,50
1923,17,-8.099999999999998,50
1973,18,-7.499999999999998,50
2023,19,-7.499999999999998,50
2073,20,-7.499999999999998,50
2123,21,-5.699999999999998,50
2173,22,-5.099999999999998,50
2223,23,-6.299999999999999,50
2273,24,-5.699999999999998,50
2323,25,-8.099999999999998,50
2373,26,-8.099999999999998,50
2423,27,-7.499999999999998,50
2473,28,-8.099999999999998,50
2523,29,-8.099999999999998,50
2573,30,-7.499999999999998,50
2623,31,-7.499999999999998,50
2673,32,-7.499999999999998,50
2723,33,-6.899999999999999,50
2773,34,-7.499999999999998,50
2823,35,-7.499999999999998,50
2873,36,-8.099999999999998,50
2923,37,-7.499999999999998,50
2973,38,-8.7,50
3023,39,-8.7,50
3073,40,-7.499999999999998,50
3123,41,-8.099999999999998,50
3173,42,-8.099999999999998,50
3223,43,-8.7,50
3273,44,-7.499999999999998,50
3323,45,-6.299999999999999,50
3373,46,-8.099999999999998,50
3423,47,-7.499999999999998,50
3473,48,-8.7,50
3523,49,-6.899999999999999,50
3573,50,-6.299999999999999,50
3623,51,-7.499999999999998,50
3673,52,-7.499999999999998,50
3723,53,-7.499999999999998,50
3773,54,-8.099999999999998,50
3823,55,-8.099999999999998,50
3873,56,-7.499999999999998,50
3923,57,-7.499999999999998,50
3973,58,-7.499999999999998,50
4023,59,-8.099999999999998,50
4073,60,-7.499999999999998,50
4123,61,-7.499999999999998,50
4173,62,-6.899999999999999,50
4223,63,-8.7,50
4273,64,-6.899999999999999,50
4323,65,-7.499999999999998,50
4373,66,-6.899999999999999,50
4423,67,-6.899999999999999,50
4473,68,-7.499999999999998,50
4523,69,-8.099999999999998,50
4573,70,-7.499999999999998,50
4623,71,-8.099999999999998,50
4673,72,-6.299999999999999,50
4723,73,-6.299999999999999,50
4773,74,-8.099999999999998,50
4823,75,-6.899999999999999,50
4873,76,-8.099999999999998,50
4923,77,-6.899999999999999,50
4973,78,-7.499999999999998,50
5023,79,-7.499999999999998,50
5073,80,-8.099999999999998,50
5123,81,-6.899999999999999,50
5173,82,-5.099999999999998,50
5223,83,-7.499999999999998,50
5273,84,-7.499999999999998,50
5323,85,-6.299999999999999,50
5373,86,-7.499999999999998,50
5423,87,-8.099999999999998,50
5473,88,-8.099999999999998,50
5523,89,-8.099999999999998,50
5573,90,-3.299999999999998,50
5623,91,-6.899999999999999,50
5673,92,-6.299999999999999,50
5723,93,-3.899999999999998,50
5773,94,-8.7,50
5823,95,-8.099999999999998,50
5873,96,-7.499999999999998,50
5923,97,-8.099999999999998,50
5973,98,-7.499999999999998,50
6023,99,-6.899999999999999,50
6073,100,-3.899999999999998,50
6123,101,-8.099999999999998,50
6173,102,-8.7,50
6223,103,-7.499999999999998,50
6273,104,-6.299999999999999,50
6323,105,-8.099999999999998,50
6373,106,-7.499999999999998,50
6423,107,-5.699999999999998,50
6473,108,-6.299999999999999,50
6523,109,-7.499999999999998,50
6573,110,-8.7,50
6623,111,-5.099999999999998,50
6673,112,-6.899999999999999,50
6723,113,-4.499999999999998,50
6773,114,-7.499999999999998,50
6823,115,-8.7,50
6873,116,-6.899999999999999,50
6923,117,-7.499999999999998,50
6973,118,-8.099999999999998,50
7023,119,-8.7,50
7073,120,-7.499999999999998,50
7123,121,-8.099999999999998,50
7173,122,-8.099999999999998,50
7223,123,-0.8999999999999986,50
7273,124,-5.699999999999998,50
7323,125,-7.499999999999998,50
7373,126,-6.899999999999999,50
7423,127,-8.099999999999998,50
