timestep,episode,reward,length
1073,0,-7.499999999999998,50
1123,1,-8.099999999999998,50
1173,2,-7.499999999999998,50
1223,3,-7.499999999999998,50
1273,4,-8.099999999999998,50
1323,5,-8.099999999999998,50
1373,6,-7.499999999999998,50
1423,7,-8.099999999999998,50
1473,8,-6.899999999999999,50
1523,9,-7.499999999999998,50
1573,10,-6.299999999999999,50
1623,11,-8.7,50
1673,12,-6.899999999999999,50
1723,13,-8.099999999999998,50
1773,14,-8.099999999999998,50
1823,15,-6.299999999999999,50
1873,16,-6.899999999999999,50
1923,17,-8.099999999999998,50
1973,18,-7.499999999999998,50
2023,19,-7.499999999999998,50
2073,20,-8.7,50
2123,21,-8.7,50
2173,22,-7.499999999999998,50
2223,23,-8.099999999999998,50
2273,24,-8.099999999999998,50
2323,25,-8.7,50
2373,26,-6.899999999999999,50
2423,27,-8.099999999999998,50
2473,28,-6.299999999999999,50
2523,29,-7.499999999999998,50
2573,30,-7.499999999999998,50
2623,31,-6.899999999999999,50
2673,32,-6.299999999999999,50
2723,33,-8.099999999999998,50
2773,34,-8.099999999999998,50
2823,35,-7.499999999999998,50
2873,36,-8.099999999999998,50
2923,37,-8.099999999999998,50
2973,38,-6.299999999999999,50
3023,39,-8.7,50
3073,40,-6.899999999999999,50
3123,41,-8.099999999999998,50
3173,42,-8.099999999999998,50
3223,43,-8.099999999999998,50
3273,44,-6.899999999999999,50
3323,45,-7.499999999999998,50
3373,46,-8.099999999999998,50
3423,47,-8.099999999999998,50
3473,48,-8.099999999999998,50
3523,49,-7.499999999999998,50
3573,50,-7.499999999999998,50
3623,51,-8.099999999999998,50
3673,52,-8.7,50
3723,53,-7.499999999999998,50
3773,54,-8.099999999999998,50
3823,55,-7.499999999999998,50
3873,56,-6.299999999999999,50
3923,57,-6.299999999999999,50
3973,58,-6.299999999999999,50
4023,59,-7.499999999999998,50
4073,60,-6.899999999999999,50
4123,61,-6.899999999999999,50
4173,62,-6.299999999999999,50
4223,63,-6.899999999999999,50
4273,64,-5.699999999999998,50
4323,65,-8.099999999999998,50
4373,66,-8.099999999999998,50
4423,67,-8.7,50
4473,68,-6.899999999999999,50
4523,69,-7.499999999999998,50
4573,70,-8.099999999999998,50
4623,71,-7.499999999999998,50
4673,72,-7.499999999999998,50
4723,73,-7.499999999999998,50
4773,74,-8.099999999999998,50
4823,75,-6.899999999999999,50
4873,76,-6.299999999999999,50
4923,77,-3.899999999999998,50
4973,78,-8.7,50
5023,79,-6.299999999999999,50
5073,80,-7.499999999999998,50
5123,81,-6.899999999999999,50
5173,82,-6.899999999999999,50
5223,83,-4.499999999999998,50
5273,84,-7.499999999999998,50
5323,85,-5.699999999999998,50
5373,86,-7.499999999999998,50
5423,87,-6.899999999999999,50
5473,88,-7.499999999999998,50
5523,89,-8.099999999999998,50
5573,90,-7.499999999999998,50
5623,91,-8.099999999999998,50
5673,92,-6.899999999999999,50
5723,93,-5.099999999999998,50
5773,94,-8.099999999999998,50
5823,95,-8.099999999999998,50
5873,96,-8.099999999999998,50
5923,97,-8.099999999999998,50
5973,98,-6.899999999999999,50
6023,99,-8.7,50
6073,100,-6.299999999999999,50
6123,101,-6.299999999999999,50
6173,102,-7.499999999999998,50
6223,103,-8.099999999999998,50
6273,104,-5.699999999999998,50
6323,105,-8.099999999999998,50
6373,106,-6.899999999999999,50
6423,107,-8.099999999999998,50
6473,108,-5.699999999999998,50
6523,109,-6.299999999999999,50
6573,110,-6.299999999999999,50
6623,111,-5.699999999999998,50
6673,112,-8.099999999999998,50
6723,113,-6.299999999999999,50
6773,114,-7.499999999999998,50
6823,115,-6.899999999999999,50
6873,116,-5.699999999999998,50
6923,117,-7.499999999999998,50
6973,118,-6.299999999999999,50
7023,119,-7.499999999999998,50
7073,120,-8.099999999999998,50
7123,121,-7.499999999999998,50
7173,122,-6.899999999999999,50
7223,123,-8.099999999999998,50
7273,124,-6.299999999999999,50
7323,125,-3.899999999999998,50
7373,126,-8.099999999999998,50
7423,127,-5.099999999999998,50
7473,128,-6.899999999999999,50
7523,129,-8.099999999999998,50
7573,130,-7.499999999999998,50
7623,131,-7.499999999999998,50
7673,132,-6.899999999999999,50
7723,133,-2.099999999999998,50
7773,134,-6.899999999999999,50
7823,135,-7.499999999999998,50
7873,136,-8.099999999999998,50
7923,137,-6.899999999999999,50
7973,138,-3.899999999999998,50
8023,139,-6.899999999999999,50
8073,140,-6.899999999999999,50
8123,141,-7.499999999999998,50
8173,142,-6.899999999999999,50
8223,143,-6.899999999999999,50
8273,144,-6.899999999999999,50
8323,145,-2.099999999999998,50
8373,146,-6.899999999999999,50
8423,147,-6.299999999999999,50
8473,148,-7.499999999999998,50
8523,149,-6.299999999999999,50
8573,150,-7.499999999999998,50
8623,151,-6.299999999999999,50
8673,152,-6.299999999999999,50
