timestep,episode,reward,length
1073,0,-6.899999999999999,50
1123,1,-7.499999999999998,50
1173,2,-7.499999999999998,50
1223,3,-8.099999999999998,50
1273,4,-6.299999999999999,50
1323,5,-8.099999999999998,50
1373,6,-8.099999999999998,50
1423,7,-6.899999999999999,50
1473,8,-8.099999999999998,50
1523,9,-6.299999999999999,50
1573,10,-6.299999999999999,50
1623,11,-8.7,50
1673,12,-8.7,50
1723,13,-8.099999999999998,50
1773,14,-7.499999999999998,50
1823,15,-8.099999999999998,50
1873,16,-8.099999999999998,50
1923,17,-8.7,50
1973,18,-8.099999999999998,50
2023,19,-7.499999999999998,50
2073,20,-8.7,50
2123,21,-6.299999999999999,50
2173,22,-6.899999999999999,50
2223,23,-8.7,50
2273,24,-8.099999999999998,50
2323,25,-8.7,50
2373,26,-6.899999999999999,50
2423,27,-5.099999999999998,50
2473,28,-8.099999999999998,50
2523,29,-6.299999999999999,50
2573,30,-8.7,50
2623,31,-7.499999999999998,50
2673,32,-5.099999999999998,50
2723,33,-7.499999999999998,50
2773,34,-4.499999999999998,50
2823,35,-8.7,50
2873,36,-7.499999999999998,50
2923,37,-7.499999999999998,50
2973,38,-8.099999999999998,50
3023,39,-6.899999999999999,50
3073,40,-8.099999999999998,50
3123,41,-5.099999999999998,50
3173,42,-8.099999999999998,50
3223,43,-6.899999999999999,50
3273,44,-6.299999999999999,50
3323,45,-7.499999999999998,50
3373,46,-7.499999999999998,50
3423,47,-8.099999999999998,50
3473,48,-6.299999999999999,50
3523,49,-6.899999999999999,50
3573,50,-5.699999999999998,50
3623,51,-8.099999999999998,50
3673,52,-7.499999999999998,50
3723,53,-6.299999999999999,50
3773,54,-5.099999999999998,50
3823,55,-6.899999999999999,50
3873,56,-8.7,50
3923,57,-7.499999999999998,50
3973,58,-6.899999999999999,50
4023,59,-6.899999999999999,50
4073,60,-7.499999999999998,50
4123,61,-6.299999999999999,50
4173,62,-7.499999999999998,50
4223,63,-8.099999999999998,50
4273,64,-6.899999999999999,50
4323,65,-6.899999999999999,50
4373,66,-6.899999999999999,50
4423,67,-6.899999999999999,50
4473,68,-0.8999999999999986,50
4523,69,-7.499999999999998,50
4573,70,-6.899999999999999,50
4623,71,-6.299999999999999,50
4673,72,-6.899999999999999,50
4723,73,-4.499999999999998,50
4773,74,-6.299999999999999,50
4823,75,-7.499999999999998,50
4873,76,-5.699999999999998,50
4923,77,-5.699999999999998,50
4973,78,-6.899999999999999,50
5023,79,-6.899999999999999,50
5073,80,-6.899999999999999,50
5123,81,-6.899999999999999,50
5173,82,-6.899999999999999,50
5223,83,-6.299999999999999,50
5273,84,-6.299999999999999,50
5323,85,-4.499999999999998,50
5373,86,-7.499999999999998,50
5423,87,-3.299999999999998,50
5473,88,-5.099999999999998,50
5523,89,-5.699999999999998,50
5573,90,-4.499999999999998,50
