timestep,policy_loss,value_loss,entropy_loss,clip_fraction,approx_kl,learning_rate
1024,-5.360052455216646e-05,3.891428589820862,-0.6931222975254059,0.0,1.077126944437623e-05,4.9993599590373784e-05
2048,-0.00016227969899773598,4.369850158691406,-0.6929658651351929,0.0,1.3654760550707579e-05,4.9987199180747566e-05
3072,-3.830902278423309e-05,4.023074746131897,-0.6925575137138367,0.0,1.3091485016047955e-05,4.9980798771121355e-05
4096,2.8243986889719963e-05,3.9350175857543945,-0.6921151280403137,0.0,4.8169458750635386e-06,4.997439836149514e-05
5120,-5.00816386193037e-05,3.73786997795105,-0.6918715834617615,0.0,6.597692845389247e-07,4.996799795186892e-05
6144,-4.7548674046993256e-06,3.6431007385253906,-0.6922195553779602,0.0,2.8011854737997055e-06,4.996159754224271e-05
7168,-4.1859690099954605e-05,3.624938130378723,-0.6924334466457367,0.0,2.7916685212403536e-06,4.995519713261649e-05
8192,3.4651136957108974e-05,3.5339529514312744,-0.6926845908164978,0.0,1.650943886488676e-06,4.994879672299028e-05
9216,-2.3289700038731098e-05,3.22661030292511,-0.6927308440208435,0.0,2.4633482098579407e-07,4.994239631336406e-05
10240,5.137873813509941e-06,3.7062454223632812,-0.6926010847091675,0.0,9.735813364386559e-07,4.993599590373784e-05
11264,-0.00019500392954796553,3.100712299346924,-0.6924706697463989,0.0,3.904220648109913e-06,4.9929595494111625e-05
12288,-4.804600030183792e-05,3.303216576576233,-0.6920366585254669,0.0,7.5047428254038095e-06,4.992319508448541e-05
13312,-9.426753968000412e-05,3.32694411277771,-0.6913716197013855,0.0,7.60177499614656e-06,4.991679467485919e-05
14336,-0.00010123837273567915,2.897139310836792,-0.69075146317482,0.0,8.949777111411095e-06,4.991039426523298e-05
15360,-0.0003490461967885494,2.5367358922958374,-0.689699798822403,0.0,1.483278174418956e-05,4.990399385560676e-05
16384,0.00012439722195267677,2.493140935897827,-0.6883769035339355,0.0,1.2562144547700882e-05,4.989759344598054e-05
17408,-4.4961459934711456e-05,2.299157500267029,-0.6870280206203461,0.0,6.715024937875569e-06,4.989119303635433e-05
18432,-2.3749424144625664e-05,2.2080540657043457,-0.6861118376255035,0.0,5.082125426270068e-06,4.988479262672811e-05
19456,-1.6849953681230545e-05,2.2065612077713013,-0.6851738095283508,0.0,4.329631337895989e-06,4.98783922171019e-05
20480,-0.00014523277059197426,1.9227087497711182,-0.683914452791214,0.0,6.893795216456056e-06,4.9871991807475684e-05
21504,-2.2238586097955704e-05,1.8227619528770447,-0.6822908520698547,0.0,9.084527846425772e-06,4.9865591397849466e-05
22528,-7.357634603977203e-05,1.519853949546814,-0.6807347536087036,0.0,9.008726920001209e-06,4.985919098822325e-05
23552,-6.0533639043569565e-05,1.3082180619239807,-0.6787344515323639,0.0,9.378811228089035e-06,4.985279057859703e-05
24576,-8.175335824489594e-05,1.300168216228485,-0.6762197911739349,0.0,1.0361196473240852e-05,4.984639016897082e-05
25600,-6.903801113367081e-05,0.8568979799747467,-0.6748001575469971,0.0,7.675218512304127e-06,4.98399897593446e-05
26624,-0.0002959836274385452,0.969211757183075,-0.6724625825881958,0.0,9.449810022488236e-06,4.983358934971838e-05
27648,-0.00014517921954393387,0.7591777145862579,-0.6696468591690063,0.0,1.2600779882632196e-05,4.9827188940092165e-05
28672,-0.0002664073836058378,0.701129674911499,-0.6667303144931793,0.0,1.7355079762637615e-05,4.982078853046595e-05
