timestep,policy_loss,value_loss,entropy_loss,clip_fraction,approx_kl,learning_rate
1024,-0.0006991319532971829,4.419476717710495,-0.6918230764567852,0.0,0.0014553024375345558,9.989754098360657e-05
2048,-0.001443292378098704,3.3956219851970673,-0.6862502638250589,0.0,0.0015833864599699154,9.979508196721312e-05
3072,-0.005649292026646435,2.4928547367453575,-0.6587519515305758,0.054443359375,0.00639190390938893,9.969262295081968e-05
4096,-0.004796864741365425,1.2634273581206799,-0.6290495190769434,0.027587890625,0.0029814754088874906,9.959016393442624e-05
5120,-0.00946009749895893,0.5124319549649954,-0.5370338913053274,0.11279296875,0.007361847172433045,9.948770491803279e-05
6144,-0.007432931917719543,0.5444569978863001,-0.4893903685733676,0.052001953125,0.0043755249644164,9.938524590163934e-05
7168,-0.006377585144946352,0.14297837275080383,-0.4124400084838271,0.049072265625,0.003734443336725235,9.92827868852459e-05
8192,-0.007552952229161747,0.18582715094089508,-0.3748584380373359,0.0458984375,0.0036291403375798836,9.918032786885247e-05
9216,-0.008352883669431321,0.1545221523847431,-0.31286743376404047,0.056884765625,0.005511489922355395,9.907786885245903e-05
10240,-0.005049246858106926,0.1953089905437082,-0.3126869983971119,0.021240234375,0.0020508384550339542,9.897540983606558e-05
11264,-0.00420802338339854,0.42915205424651504,-0.31307761650532484,0.0087890625,0.0008123083389364183,9.887295081967214e-05
12288,-0.007974849155289121,0.21727365162223577,-0.27998052490875125,0.044189453125,0.0035402284338488244,9.87704918032787e-05
13312,-0.0034932546404888853,0.4057967783883214,-0.2979271076619625,0.003662109375,0.00043199717038078234,9.866803278688525e-05
14336,-0.008344959569512866,0.23480774508789182,-0.30006717424839735,0.02587890625,0.0020418638960109092,9.85655737704918e-05
15360,-0.009110203507589176,0.14025805797427893,-0.2923988080583513,0.037841796875,0.00282003270694986,9.846311475409836e-05
16384,-0.011492491874378175,0.2512679910287261,-0.31142363976687193,0.056640625,0.004876595216046553,9.836065573770493e-05
17408,-0.007719896064372733,0.1498162227217108,-0.2923593707382679,0.0234375,0.0019153125176671892,9.825819672131148e-05
18432,-0.011353549169143662,0.16444621398113668,-0.286207209341228,0.0400390625,0.0027231950298300944,9.815573770491804e-05
19456,-0.00989208912506001,0.13490741606801748,-0.2794987102970481,0.053955078125,0.004025171627290547,9.80532786885246e-05
20480,-0.006475322064943612,0.0884608468040824,-0.24421055801212788,0.02978515625,0.0022815768024884164,9.795081967213115e-05
21504,-0.0033346023701597005,0.05813001480419189,-0.266161875333637,0.0185546875,0.0017482430703239515,9.784836065573771e-05
22528,-0.006607525690924376,0.05880259536206722,-0.26097840908914804,0.02783203125,0.001961453803232871,9.774590163934426e-05
23552,-0.009442997281439602,0.06347310089040548,-0.22469453373923898,0.056640625,0.005186566486372612,9.764344262295082e-05
24576,-0.011356151633663103,0.03132280631689355,-0.23551384266465902,0.04345703125,0.0032559541141381487,9.754098360655737e-05
25600,-0.012056917970767245,0.05977430322673172,-0.26876918924972415,0.06005859375,0.004269902783562429,9.743852459016394e-05
26624,-0.016670101031195372,0.03047643869649619,-0.28007315611466765,0.08056640625,0.006119513484009076,9.73360655737705e-05
27648,-0.008428492757957429,0.02420016287942417,-0.22334286104887724,0.024169921875,0.0022540791833307594,9.723360655737706e-05
28672,-0.006443772916099988,0.06217731296783313,-0.2496542762964964,0.02783203125,0.0026295977004338056,9.713114754098361e-05
29696,-0.005754984988016076,0.04616689158137888,-0.2203252585604787,0.037353515625,0.002511257211153861,9.702868852459017e-05
30720,-0.014209602901246399,0.10617670090869069,-0.2393704354763031,0.064208984375,0.004703876758867409,9.692622950819674e-05
31744,-0.013348874868825078,0.08319971372839063,-0.22910583997145295,0.060546875,0.006411248497897759,9.682377049180328e-05
32768,-0.004416624258738011,0.1007854116614908,-0.21457019867375493,0.037109375,0.003655049076769501,9.672131147540983e-05
33792,-0.0068739125636057,0.12573093618266284,-0.18867037910968065,0.032958984375,0.002675389427167829,9.66188524590164e-05
34816,-0.013842148444382474,0.17039663065224886,-0.22329513495787978,0.05810546875,0.010806698111991864,9.651639344262296e-05
35840,-0.011188355216290802,0.10191283607855439,-0.2198738008737564,0.03857421875,0.003939332287700381,9.641393442622951e-05
36864,-0.009238870319677517,0.08915747597347945,-0.18834139546379447,0.022705078125,0.0022249451649258845,9.631147540983607e-05
37888,-0.00822738409624435,0.11550991469994187,-0.20527197746559978,0.024169921875,0.0018961519890581258,9.620901639344263e-05
38912,-0.007864397244702559,0.15648933569900692,-0.16586117446422577,0.02197265625,0.002636541234096512,9.610655737704918e-05
39936,-0.007250163238495588,0.1484745421912521,-0.20074971579015255,0.030517578125,0.0026301466787117533,9.600409836065573e-05
40960,-0.006584114860743284,0.09020500618498772,-0.18351531866937876,0.033203125,0.00296498690295266,9.59016393442623e-05
41984,-0.004056301389937289,0.17420529411174357,-0.1767811649478972,0.015869140625,0.001870853899163194,9.579918032786886e-05
43008,-0.004067494795890525,0.2679048301652074,-0.1247163254301995,0.028564453125,0.002901067302445881,9.56967213114754e-05
44032,-0.003950655373046175,0.17090341029688716,-0.1427627841476351,0.02587890625,0.0030820424362900667,9.559426229508197e-05
45056,-0.0030094963585725054,0.2759203636087477,-0.1297708535566926,0.017578125,0.0015538026636932045,9.549180327868853e-05
46080,-0.0032216682302532718,0.25286686001345515,-0.1401150356978178,0.016845703125,0.0016713507284293883,9.53893442622951e-05
47104,-0.0038617350219283253,0.2106791608966887,-0.13118713349103928,0.029296875,0.002186959536629729,9.528688524590164e-05
48128,-0.006006895448081195,0.2145998952910304,-0.14273566054180264,0.03564453125,0.002324353998119477,9.51844262295082e-05
49152,-0.006042402383172885,0.22882940666750073,-0.12064990471117198,0.034423828125,0.0034672983892960474,9.508196721311476e-05
50176,-0.005521642407984473,0.2944074459373951,-0.12178815365768969,0.02392578125,0.0023738500312902033,9.497950819672132e-05
51200,-0.005344461445929483,0.42083213943988085,-0.1263029135297984,0.024169921875,0.0023674045005463995,9.487704918032787e-05
52224,-0.006479393545305356,0.3475179737433791,-0.11902069859206676,0.02734375,0.002673542396223638,9.477459016393443e-05
53248,-0.0024568326043663546,0.21117059560492635,-0.1257691674400121,0.011962890625,0.0009525570640107617,9.467213114754099e-05
54272,-0.0022239034005906433,0.20676986081525683,-0.141874783905223,0.018798828125,0.0013224106587585993,9.456967213114754e-05
55296,-0.0035211822541896254,0.25405960297212005,-0.11757061840035021,0.020263671875,0.001803155246307142,9.44672131147541e-05
56320,-0.0046086660731816664,0.4696834683418274,-0.10846700798720121,0.012939453125,0.001984111513593234,9.436475409836067e-05
57344,-0.0025943232321878895,0.3874534908682108,-0.1211471080314368,0.014892578125,0.0017921690960065462,9.426229508196722e-05
58368,-0.005936793197179213,0.45234319753944874,-0.11912878532893956,0.020263671875,0.002609000453958288,9.415983606557376e-05
59392,-0.0043007543426938355,0.3981233583763242,-0.08984362066257745,0.0234375,0.0021270734796416946,9.405737704918033e-05
60416,-0.004622267748345621,0.27595219388604164,-0.10526574752293527,0.024169921875,0.0021412397763924673,9.395491803278689e-05
61440,-0.00221943182987161,0.618442983366549,-0.09475959814153612,0.0068359375,0.0005461086984723806,9.385245901639344e-05
62464,-0.0058122701302636415,0.5112805310636759,-0.09154675900936127,0.02001953125,0.001803869628929533,9.375e-05
63488,-0.003966643002058845,0.43983643874526024,-0.11900190636515617,0.0224609375,0.0021050793802714907,9.364754098360656e-05
64512,-0.0037011880049249157,0.4849545508623123,-0.0955087736947462,0.023193359375,0.002184160657634493,9.354508196721313e-05
65536,-0.0026082429249072447,0.40933290030807257,-0.10661217593587935,0.017333984375,0.001250528650416527,9.344262295081968e-05
66560,-0.0037350871425587684,0.3637044560164213,-0.09832439036108553,0.017578125,0.001136824008426629,9.334016393442624e-05
67584,-0.0034308935137232766,0.45181680005043745,-0.08399067050777376,0.012451171875,0.0014421088562812656,9.323770491803279e-05
68608,-0.0019538959895726293,0.38349685352295637,-0.09824292059056461,0.0146484375,0.0010114556644111872,9.313524590163935e-05
69632,-0.0020566838793456554,0.38019764609634876,-0.07352741865906864,0.012939453125,0.001023843877192121,9.30327868852459e-05
70656,-0.003182407788699493,0.3512934376485646,-0.12020746152848005,0.0234375,0.0021263347953208722,9.293032786885246e-05
71680,-0.0028458647284423932,0.4544794373214245,-0.10768804559484124,0.021728515625,0.002339523343835026,9.282786885245903e-05
72704,-0.003323959739645943,0.38274408504366875,-0.10029949131421745,0.014892578125,0.0016377749052480794,9.272540983606557e-05
73728,-0.00426841240550857,0.5296368133276701,-0.10245459340512753,0.01611328125,0.0012455854594008997,9.262295081967214e-05
74752,-0.000819347333163023,0.38815513625741005,-0.07653992704581469,0.0185546875,0.0013242620188975707,9.25204918032787e-05
75776,-0.002759850802249275,0.39244131185114384,-0.09591272054240108,0.009765625,0.0011216564162168652,9.241803278688526e-05
76800,-0.005133018305059522,0.4971454441547394,-0.086110407137312,0.01904296875,0.0019768068741541356,9.23155737704918e-05
77824,-0.001836035997257568,0.5266431691125035,-0.09014106600079685,0.013916015625,0.0012592643179232255,9.221311475409836e-05
78848,-0.003964094779803418,0.5655402010306716,-0.09506212710402906,0.018798828125,0.00250825807597721,9.211065573770492e-05
79872,-0.001302379539993126,0.45887895952910185,-0.08008522097952664,0.0068359375,0.0004517573397606611,9.200819672131149e-05
80896,-0.004465613208594732,0.46154914144426584,-0.07624643156304955,0.0185546875,0.0015652905640308745,9.190573770491804e-05
81920,-0.002204829677793896,0.6710774265229702,-0.09815756743773818,0.00537109375,0.0005335411769920029,9.18032786885246e-05
82944,-0.0017336399614578113,0.518586553633213,-0.08042973908595741,0.020751953125,0.0018923515162896365,9.170081967213116e-05
83968,-0.004435451133758761,0.5996074415743351,-0.08215033588930964,0.01220703125,0.0008733306822250597,9.159836065573771e-05
84992,-0.004927922345814295,0.5143047496676445,-0.10113319917581975,0.0166015625,0.0013970118016004562,9.149590163934427e-05
86016,-0.005498858503415249,0.6976350378245115,-0.12436849297955632,0.02685546875,0.003985380433732644,9.139344262295082e-05
87040,-0.001329161794274114,0.6164629654958844,-0.0971606372622773,0.028076171875,0.0027957912971032783,9.129098360655738e-05
88064,-0.0023010990698821843,0.5267438972368836,-0.0836913016391918,0.005126953125,0.0010122197272721678,9.118852459016393e-05
89088,-0.0018098478758474812,0.553306495770812,-0.06135009753052145,0.005615234375,0.0010957187332678586,9.10860655737705e-05
90112,-0.002247001262730919,0.7151892548426986,-0.08388188760727644,0.00341796875,0.00036647135129896924,9.098360655737706e-05
91136,-0.0012933693215018138,0.5264672404155135,-0.08729052788112313,0.011962890625,0.0011057000592700206,9.088114754098361e-05
92160,-0.0019910920382244512,0.5859498521313071,-0.05282867304049432,0.00732421875,0.0009947550352080725,9.077868852459017e-05
93184,0.00121713821135927,0.7663218770176172,-0.07628681033384055,0.01318359375,0.001542650155897718,9.067622950819672e-05
94208,-0.0012603922805283219,0.8583429669961333,-0.09566586290020496,0.012451171875,0.001036171699524857,9.05737704918033e-05
95232,-0.0027304638497298583,0.6909506861120462,-0.10032121744006872,0.01416015625,0.0018614417203934863,9.047131147540983e-05
96256,-0.00866147563647246,0.9864482218399644,-0.06959662900771946,0.042724609375,0.006847235978057142,9.03688524590164e-05
97280,-0.0029254671826492995,0.5784609094262123,-0.07292572758160532,0.01513671875,0.0015994190107448958,9.026639344262296e-05
98304,-0.0045008285087533295,0.6335381045937538,-0.09080822113901377,0.027587890625,0.0024038635674514808,9.016393442622952e-05
99328,-0.004512475949013606,0.45961178932338953,-0.07107731478754431,0.023193359375,0.0025873182603390887,9.006147540983607e-05
100352,-0.0026100304748979397,0.46810147538781166,-0.0695869461633265,0.01220703125,0.0010506081162020564,8.995901639344263e-05
101376,-0.004900666885077953,0.6562918638810515,-0.07644351932685822,0.029296875,0.0035979197273263708,8.98565573770492e-05
102400,-0.0015312601026380435,0.5488818977028131,-0.06249428086448461,0.010498046875,0.0009687285564723425,8.975409836065574e-05
103424,-0.0024469999771099538,0.43951820954680443,-0.06451602454762906,0.009033203125,0.0008052644770941697,8.965163934426229e-05
104448,-0.0026189484779024497,0.4866689844056964,-0.06263649847824126,0.015625,0.0012641863140743226,8.954918032786885e-05
105472,-0.0013603426195913926,0.8146898271515965,-0.07986620347946882,0.017333984375,0.0014394178360817023,8.944672131147542e-05
106496,-0.0017441382296965457,0.49922931753098965,-0.0773283801972866,0.01416015625,0.0012962170148966834,8.934426229508197e-05
107520,-0.005960096517810598,0.5514591950923204,-0.06614630087278783,0.019775390625,0.002578599094704259,8.924180327868853e-05
108544,-0.0030148819205351174,0.6199292335659266,-0.07651074533350766,0.013916015625,0.0009492772951489314,8.913934426229509e-05
