timestep,episode,reward,length
1073,0,-6.299999999999999,50
1123,1,-8.7,50
1173,2,-6.899999999999999,50
1223,3,-8.099999999999998,50
1273,4,-8.099999999999998,50
1323,5,-6.899999999999999,50
1373,6,-6.899999999999999,50
1423,7,-8.099999999999998,50
1473,8,-7.499999999999998,50
1523,9,-8.7,50
1573,10,-7.499999999999998,50
1623,11,-8.099999999999998,50
1673,12,-6.899999999999999,50
1723,13,-7.499999999999998,50
1773,14,-8.099999999999998,50
1823,15,-6.299999999999999,50
1873,16,-7.499999999999998,50
1923,17,-7.499999999999998,50
1973,18,-8.099999999999998,50
2023,19,-7.499999999999998,50
2073,20,-7.499999999999998,50
2123,21,-8.099999999999998,50
2173,22,-8.7,50
2223,23,-8.7,50
2273,24,-8.099999999999998,50
2323,25,-6.299999999999999,50
2373,26,-8.099999999999998,50
2423,27,-6.899999999999999,50
2473,28,-8.099999999999998,50
2523,29,-8.099999999999998,50
2573,30,-8.099999999999998,50
2623,31,-7.499999999999998,50
2673,32,-8.099999999999998,50
2723,33,-7.499999999999998,50
2773,34,-7.499999999999998,50
2823,35,-7.499999999999998,50
2873,36,-8.099999999999998,50
2923,37,-6.899999999999999,50
2973,38,-8.7,50
3023,39,-8.099999999999998,50
3073,40,-5.099999999999998,50
3123,41,-8.099999999999998,50
3173,42,-8.099999999999998,50
3223,43,-7.499999999999998,50
3273,44,-6.299999999999999,50
3323,45,-8.099999999999998,50
3373,46,-8.7,50
3423,47,-6.899999999999999,50
3473,48,-8.7,50
3523,49,-8.099999999999998,50
3573,50,-7.499999999999998,50
3623,51,-8.099999999999998,50
3673,52,-7.499999999999998,50
3723,53,-8.099999999999998,50
3773,54,-8.7,50
3823,55,-7.499999999999998,50
3873,56,-8.099999999999998,50
3923,57,-8.099999999999998,50
3973,58,-8.099999999999998,50
4023,59,-6.899999999999999,50
4073,60,-8.099999999999998,50
4123,61,-7.499999999999998,50
4173,62,-8.099999999999998,50
4223,63,-8.7,50
4273,64,-7.499999999999998,50
4323,65,-7.499999999999998,50
4373,66,-7.499999999999998,50
4423,67,-5.099999999999998,50
4473,68,-8.099999999999998,50
4523,69,-8.099999999999998,50
4573,70,-7.499999999999998,50
4623,71,-6.899999999999999,50
4673,72,-7.499999999999998,50
4723,73,-6.899999999999999,50
4773,74,-7.499999999999998,50
4823,75,-7.499999999999998,50
4873,76,-6.899999999999999,50
4923,77,-7.499999999999998,50
4973,78,-6.899999999999999,50
5023,79,-8.7,50
5073,80,-8.099999999999998,50
5123,81,-7.499999999999998,50
5173,82,-7.499999999999998,50
5223,83,-7.499999999999998,50
5273,84,-5.699999999999998,50
5323,85,-6.299999999999999,50
5373,86,-7.499999999999998,50
5423,87,-7.499999999999998,50
5473,88,-6.899999999999999,50
5523,89,-8.099999999999998,50
5573,90,-8.099999999999998,50
5623,91,-6.899999999999999,50
5673,92,-6.899999999999999,50
5723,93,-8.7,50
5773,94,-7.499999999999998,50
5823,95,-7.499999999999998,50
5873,96,-8.099999999999998,50
5923,97,-8.7,50
5973,98,-5.699999999999998,50
6023,99,-7.499999999999998,50
6073,100,-7.499999999999998,50
6123,101,-7.499999999999998,50
6173,102,-5.699999999999998,50
6223,103,-6.299999999999999,50
6273,104,-7.499999999999998,50
6323,105,-6.299999999999999,50
6373,106,-3.899999999999998,50
6423,107,-3.899999999999998,50
6473,108,-6.299999999999999,50
6523,109,-7.499999999999998,50
6573,110,-7.499999999999998,50
6623,111,-7.499999999999998,50
6673,112,-8.7,50
6723,113,-5.099999999999998,50
