timestep,episode,reward,length
1073,0,-6.899999999999999,50
1123,1,-6.299999999999999,50
1173,2,-5.699999999999998,50
1223,3,-5.699999999999998,50
1273,4,-8.099999999999998,50
1323,5,-6.899999999999999,50
1373,6,-8.099999999999998,50
1423,7,-6.899999999999999,50
1473,8,-6.899999999999999,50
1523,9,-5.699999999999998,50
1573,10,-9.299999999999999,50
1623,11,-4.499999999999998,50
1673,12,-8.099999999999998,50
1723,13,-7.499999999999998,50
1773,14,-8.099999999999998,50
1823,15,-6.299999999999999,50
1873,16,-6.899999999999999,50
1923,17,-8.099999999999998,50
1973,18,-8.7,50
2023,19,-7.499999999999998,50
2073,20,-7.499999999999998,50
2123,21,-6.299999999999999,50
2173,22,-7.499999999999998,50
2223,23,-7.499999999999998,50
2273,24,-6.899999999999999,50
2323,25,-8.099999999999998,50
2373,26,-8.7,50
2423,27,-6.899999999999999,50
2473,28,-6.899999999999999,50
2523,29,-7.499999999999998,50
2573,30,-6.899999999999999,50
2623,31,-8.099999999999998,50
2673,32,-7.499999999999998,50
2723,33,-8.7,50
2773,34,-6.899999999999999,50
2823,35,-6.899999999999999,50
2873,36,-7.499999999999998,50
2923,37,-8.099999999999998,50
2973,38,-7.499999999999998,50
3023,39,-8.099999999999998,50
3073,40,-6.899999999999999,50
3123,41,-8.7,50
3173,42,-8.099999999999998,50
3223,43,-5.699999999999998,50
3273,44,-6.899999999999999,50
3323,45,-8.099999999999998,50
3373,46,-8.7,50
3423,47,-6.899999999999999,50
3473,48,-8.7,50
3523,49,-6.299999999999999,50
3573,50,-7.499999999999998,50
3623,51,-8.099999999999998,50
3673,52,-6.899999999999999,50
3723,53,-8.099999999999998,50
3773,54,-6.299999999999999,50
3823,55,-8.099999999999998,50
3873,56,-7.499999999999998,50
3923,57,-8.7,50
3973,58,-8.099999999999998,50
4023,59,-6.899999999999999,50
4073,60,-8.099999999999998,50
4123,61,-5.699999999999998,50
4173,62,-5.099999999999998,50
4223,63,-7.499999999999998,50
4273,64,-8.099999999999998,50
4323,65,-4.499999999999998,50
4373,66,-6.299999999999999,50
4423,67,-5.699999999999998,50
4473,68,-6.899999999999999,50
4523,69,-6.299999999999999,50
4573,70,-3.299999999999998,50
4623,71,-8.7,50
4673,72,-6.899999999999999,50
4723,73,-4.499999999999998,50
4773,74,-8.099999999999998,50
4823,75,-8.099999999999998,50
4873,76,-7.499999999999998,50
4923,77,-7.499999999999998,50
4973,78,-4.499999999999998,50
5023,79,-8.7,50
5073,80,-6.299999999999999,50
5123,81,-5.099999999999998,50
5173,82,-3.299999999999998,50
5223,83,-6.899999999999999,50
5273,84,-5.099999999999998,50
5323,85,-3.899999999999998,50
5373,86,-3.299999999999998,50
5423,87,-5.699999999999998,50
5473,88,-6.899999999999999,50
5523,89,-6.899999999999999,50
5573,90,-8.099999999999998,50
5623,91,-6.899999999999999,50
5673,92,-5.699999999999998,50
5723,93,-7.499999999999998,50
5773,94,-8.099999999999998,50
5823,95,-6.899999999999999,50
5873,96,-3.899999999999998,50
5923,97,-2.099999999999998,50
5973,98,-7.499999999999998,50
6023,99,-6.299999999999999,50
6073,100,-6.899999999999999,50
6123,101,-8.099999999999998,50
6173,102,-6.899999999999999,50
6223,103,-4.499999999999998,50
6273,104,-0.8999999999999986,50
6323,105,-6.899999999999999,50
6373,106,-3.299999999999998,50
6423,107,-0.8999999999999986,50
6473,108,-5.699999999999998,50
6523,109,-3.899999999999998,50
6573,110,-3.899999999999998,50
6623,111,-6.299999999999999,50
6673,112,-3.299999999999998,50
6723,113,-5.099999999999998,50
6773,114,-2.699999999999998,50
6823,115,-4.499999999999998,50
6873,116,-4.499999999999998,50
6923,117,-6.899999999999999,50
6973,118,-6.299999999999999,50
7023,119,-3.899999999999998,50
7073,120,-5.699999999999998,50
7123,121,-0.8999999999999986,50
7173,122,-5.699999999999998,50
7223,123,-0.8999999999999986,50
7273,124,-0.8999999999999986,50
7323,125,-3.899999999999998,50
7373,126,-0.8999999999999986,50
7423,127,-0.8999999999999986,50
7473,128,-3.299999999999998,50
7523,129,-3.299999999999998,50
7573,130,-5.099999999999998,50
7623,131,-6.299999999999999,50
7673,132,-3.299999999999998,50
7723,133,-5.699999999999998,50
7773,134,-0.8999999999999986,50
7823,135,-5.099999999999998,50
7873,136,-1.4999999999999982,50
7923,137,-5.099999999999998,50
7973,138,-4.499999999999998,50
8023,139,-0.8999999999999986,50
8073,140,-0.8999999999999986,50
8123,141,-0.8999999999999986,50
8173,142,-3.299999999999998,50
8223,143,-0.8999999999999986,50
8273,144,-0.8999999999999986,50
8323,145,-2.699999999999998,50
8373,146,-1.4999999999999982,50
8423,147,1.5,50
8473,148,-4.499999999999998,50
8523,149,-0.8999999999999986,50
8573,150,-2.099999999999998,50
8623,151,-4.499999999999998,50
8673,152,-0.8999999999999986,50
8723,153,-0.8999999999999986,50
8773,154,-0.8999999999999986,50
8823,155,-3.899999999999998,50
8873,156,-0.8999999999999986,50
8923,157,-0.8999999999999986,50
8973,158,-0.8999999999999986,50
9023,159,-2.699999999999998,50
9073,160,-3.899999999999998,50
9123,161,-0.8999999999999986,50
9173,162,-3.899999999999998,50
9223,163,-2.699999999999998,50
9273,164,-0.8999999999999986,50
9323,165,-0.8999999999999986,50
9373,166,-3.299999999999998,50
9423,167,-0.29999999999999893,50
9473,168,-0.8999999999999986,50
9523,169,-0.8999999999999986,50
9573,170,-0.8999999999999986,50
9623,171,-0.8999999999999986,50
9673,172,-0.8999999999999986,50
9723,173,-3.899999999999998,50
9773,174,-0.8999999999999986,50
9823,175,-0.8999999999999986,50
9873,176,-0.8999999999999986,50
9923,177,-0.8999999999999986,50
9973,178,-0.8999999999999986,50
10029,179,-1.4999999999999987,56
10079,180,-0.8999999999999986,50
10129,181,-2.099999999999998,50
10179,182,-0.8999999999999986,50
10229,183,-0.8999999999999986,50
10279,184,-0.8999999999999986,50
10329,185,-0.8999999999999986,50
10379,186,-0.8999999999999986,50
10436,187,-4.399999999999999,57
10486,188,-0.8999999999999986,50
10536,189,-0.8999999999999986,50
10586,190,-0.8999999999999986,50
10636,191,0.9000000000000004,50
10686,192,-0.8999999999999986,50
10736,193,0.9000000000000008,50
10786,194,0.9000000000000004,50
10836,195,-0.8999999999999986,50
10887,196,1.6000000000000019,51
10937,197,1.5,50
10987,198,-1.4999999999999982,50
11046,199,-1.7999999999999985,59
11096,200,0.9000000000000004,50
11146,201,-0.8999999999999986,50
11196,202,-0.8999999999999986,50
11246,203,0.9000000000000004,50
11296,204,2.0999999999999996,50
11346,205,-0.8999999999999986,50
11432,206,-2.3999999999999972,86
11482,207,-0.8999999999999986,50
11532,208,-0.8999999999999986,50
11582,209,-0.8999999999999986,50
11632,210,0.3000000000000007,50
11682,211,-0.8999999999999986,50
11732,212,-0.8999999999999986,50
11782,213,-0.8999999999999986,50
11832,214,0.9000000000000004,50
11884,215,1.1000000000000019,52
11934,216,-0.8999999999999986,50
12056,217,-3.299999999999997,122
12106,218,-0.8999999999999986,50
12156,219,0.3000000000000007,50
12206,220,-0.8999999999999986,50
12256,221,-0.8999999999999986,50
12306,222,-0.8999999999999986,50
12408,223,-1.0999999999999974,102
12458,224,-0.8999999999999986,50
