timestep,episode,reward,length
1073,0,-7.499999999999998,50
1123,1,-8.099999999999998,50
1173,2,-7.499999999999998,50
1223,3,-8.099999999999998,50
1273,4,-8.099999999999998,50
1323,5,-8.099999999999998,50
1373,6,-6.899999999999999,50
1423,7,-8.099999999999998,50
1473,8,-8.099999999999998,50
1523,9,-8.7,50
1573,10,-8.099999999999998,50
1623,11,-7.499999999999998,50
1673,12,-8.099999999999998,50
1723,13,-8.7,50
1773,14,-7.499999999999998,50
1823,15,-7.499999999999998,50
1873,16,-6.899999999999999,50
1923,17,-8.099999999999998,50
1973,18,-7.499999999999998,50
2023,19,-8.099999999999998,50
2073,20,-8.7,50
2123,21,-8.7,50
2173,22,-6.899999999999999,50
2223,23,-8.7,50
2273,24,-8.7,50
2323,25,-8.7,50
2373,26,-8.7,50
2423,27,-8.099999999999998,50
2473,28,-8.099999999999998,50
2523,29,-3.299999999999998,50
2573,30,-7.499999999999998,50
2623,31,-8.7,50
2673,32,-9.299999999999999,50
2723,33,-6.299999999999999,50
2773,34,-8.099999999999998,50
2823,35,-8.099999999999998,50
2873,36,-7.499999999999998,50
2923,37,-6.899999999999999,50
2973,38,-8.7,50
3023,39,-8.099999999999998,50
3073,40,-8.099999999999998,50
3123,41,-8.099999999999998,50
3173,42,-8.099999999999998,50
3223,43,-6.299999999999999,50
3273,44,-5.699999999999998,50
3323,45,-8.099999999999998,50
3373,46,-5.699999999999998,50
3423,47,-8.7,50
3473,48,-8.099999999999998,50
3523,49,-7.499999999999998,50
3573,50,-8.099999999999998,50
3623,51,-7.499999999999998,50
3673,52,-7.499999999999998,50
3723,53,-6.299999999999999,50
3773,54,-7.499999999999998,50
3823,55,-7.499999999999998,50
3873,56,-7.499999999999998,50
3923,57,-8.099999999999998,50
3973,58,-8.099999999999998,50
4023,59,-8.7,50
4073,60,-8.099999999999998,50
4123,61,-8.099999999999998,50
4173,62,-8.099999999999998,50
4223,63,-8.7,50
4273,64,-7.499999999999998,50
4323,65,-8.7,50
4373,66,-8.7,50
4423,67,-8.099999999999998,50
4473,68,-6.899999999999999,50
4523,69,-8.7,50
4573,70,-8.7,50
4623,71,-8.099999999999998,50
4673,72,-8.7,50
4723,73,-7.499999999999998,50
4773,74,-8.099999999999998,50
4823,75,-6.299999999999999,50
4873,76,-8.099999999999998,50
4923,77,-8.099999999999998,50
4973,78,-7.499999999999998,50
5023,79,-6.899999999999999,50
5073,80,-7.499999999999998,50
5123,81,-7.499999999999998,50
5173,82,-8.099999999999998,50
5223,83,-5.699999999999998,50
5273,84,-5.099999999999998,50
5323,85,-3.299999999999998,50
5373,86,-8.7,50
5423,87,-8.099999999999998,50
5473,88,-8.7,50
5523,89,-7.499999999999998,50
5573,90,-8.099999999999998,50
5623,91,-8.7,50
5673,92,-6.299999999999999,50
5723,93,-6.899999999999999,50
5773,94,-8.7,50
5823,95,-3.299999999999998,50
5873,96,-7.499999999999998,50
5923,97,-7.499999999999998,50
5973,98,-8.099999999999998,50
6023,99,-7.499999999999998,50
6073,100,-8.7,50
6123,101,-8.7,50
6173,102,-6.899999999999999,50
6223,103,-5.099999999999998,50
6273,104,-5.699999999999998,50
6323,105,-8.7,50
6373,106,-6.899999999999999,50
6423,107,-7.499999999999998,50
6473,108,-6.299999999999999,50
6523,109,-3.899999999999998,50
6573,110,-5.099999999999998,50
6623,111,-5.699999999999998,50
6673,112,-6.299999999999999,50
6723,113,-6.299999999999999,50
6773,114,-8.7,50
6823,115,-3.299999999999998,50
6873,116,-8.099999999999998,50
6923,117,-6.899999999999999,50
6973,118,-7.499999999999998,50
7023,119,-5.699999999999998,50
7073,120,-3.899999999999998,50
7123,121,-7.499999999999998,50
7173,122,-3.899999999999998,50
7223,123,-6.299999999999999,50
7273,124,-5.699999999999998,50
7323,125,-1.4999999999999982,50
7373,126,-4.499999999999998,50
7423,127,-6.899999999999999,50
7473,128,-3.899999999999998,50
7523,129,-5.099999999999998,50
7573,130,-8.099999999999998,50
7623,131,-8.099999999999998,50
7673,132,-8.099999999999998,50
7723,133,-6.299999999999999,50
7773,134,-2.099999999999998,50
7823,135,-7.499999999999998,50
7873,136,-6.299999999999999,50
7923,137,-6.899999999999999,50
7973,138,-7.499999999999998,50
8023,139,-5.099999999999998,50
8073,140,-5.099999999999998,50
8123,141,-1.4999999999999982,50
8173,142,-6.299999999999999,50
8223,143,-7.499999999999998,50
8273,144,-6.899999999999999,50
8323,145,-3.899999999999998,50
8373,146,-0.8999999999999986,50
8423,147,-5.699999999999998,50
8473,148,-3.899999999999998,50
8523,149,-5.099999999999998,50
8573,150,-5.099999999999998,50
8623,151,-6.899999999999999,50
8673,152,-5.699999999999998,50
8723,153,-5.099999999999998,50
8773,154,-2.099999999999998,50
8823,155,-0.8999999999999986,50
8873,156,-6.299999999999999,50
