timestep,episode,reward,length
1,0,-8.099999999999998,50
1,1,-8.099999999999998,50
1,2,-8.099999999999998,50
1,3,-7.499999999999998,50
1,4,-7.499999999999998,50
1,5,-8.099999999999998,50
1,6,-8.099999999999998,50
1,7,-7.499999999999998,50
1,8,-8.099999999999998,50
1,9,-7.499999999999998,50
1,10,-6.299999999999999,50
1,11,-7.499999999999998,50
1,12,-7.499999999999998,50
1,13,-8.099999999999998,50
1,14,-7.499999999999998,50
1,15,-8.099999999999998,50
1,16,-6.899999999999999,50
1,17,-7.499999999999998,50
1,18,-6.899999999999999,50
1,19,-8.099999999999998,50
2,20,-7.499999999999998,50
2,21,-8.099999999999998,50
2,22,-8.099999999999998,50
2,23,-8.099999999999998,50
2,24,-8.7,50
2,25,-8.099999999999998,50
2,26,-7.499999999999998,50
2,27,-6.299999999999999,50
2,28,-7.499999999999998,50
2,29,-6.299999999999999,50
2,30,-7.499999999999998,50
2,31,-8.7,50
2,32,-8.099999999999998,50
2,33,-8.099999999999998,50
2,34,-8.7,50
2,35,-8.099999999999998,50
2,36,-8.099999999999998,50
2,37,-7.499999999999998,50
2,38,-6.299999999999999,50
2,39,-7.499999999999998,50
3,40,-7.499999999999998,50
3,41,-7.499999999999998,50
3,42,-7.499999999999998,50
3,43,-7.499999999999998,50
3,44,-8.099999999999998,50
3,45,-8.099999999999998,50
3,46,-8.099999999999998,50
3,47,-8.099999999999998,50
3,48,-7.499999999999998,50
3,49,-8.7,50
3,50,-7.499999999999998,50
3,51,-6.899999999999999,50
3,52,-7.499999999999998,50
3,53,-8.099999999999998,50
3,54,-8.099999999999998,50
3,55,-8.099999999999998,50
3,56,-8.099999999999998,50
3,57,-5.099999999999998,50
3,58,-6.899999999999999,50
3,59,-8.099999999999998,50
3,60,-7.499999999999998,50
4,61,-5.699999999999998,50
4,62,-5.699999999999998,50
4,63,-5.699999999999998,50
4,64,-8.099999999999998,50
4,65,-6.899999999999999,50
4,66,-6.299999999999999,50
4,67,-7.499999999999998,50
4,68,-5.699999999999998,50
4,69,-5.099999999999998,50
4,70,-6.899999999999999,50
4,71,-7.499999999999998,50
4,72,-7.499999999999998,50
